# Conversion path length
# Start date,2020-05-01
# End date,2020-05-31
# Lookback window,30 days

Path length,Conversions,Revenue,Average path length
Total,51,0,1.49
1,34,0,1
2,10,0,2
3,6,0,3
4,1,0,4
