ObjectID,External_Key,Account_ID,Account_UUID,External_ID,External_System,Role,Role_Text,Status,Status_Text,DUNS,Legal_Form,Legal_Form_Text,ABC_Classification,ABC_Classification_Text,Nielsen_ID,Nielsen_ID_Text,IndustrialSectorCode,IndustrialSectorCodeText,Contact_Permission,Contact_Permission_Text,Name,Additional_Name,Additional_Name_2,Additional_Name_3,Address_UUID,CountryRegion,CountryRegion_Text,State,State_Text,co,Address_Line_1,Address_Line_2,House_Number,Additional_House_Number,Street,Address_Line_4,Address_Line_5,District,City,Different_City,Postal_Code,County,Company_Postal_Code,PO_Box_Address,PO_Box,PO_Box_Postal_Code,PO_Box_CountryRegion,PO_Box_CountryRegion_Text,PO_Box_State,PO_Box_State_Text,PO_Box_City,Time_Zone,Time_Zone_Text,Building,Floor,Room,Phone,Mobile,Fax,EMail,Web_Site,Language,Language_Text,Best_Reached_By,Best_Reached_By_Text,Order_Block,Order_Block_Text,Delivery_Block,Delivery_Block_Text,Billing_Block,Billing_Block_Text,Sales_Support_Block,Legal_Competence,Recommended_Visit_Frequency,Visit_Duration,Last_Visited,Next_Planned_Visit,Visit_Before,Owner_ID,Owner_UUID,Owner_External_Key,Parent_Account_ID,Created_On,Created_By,Creation_Identity_UUID,Changed_On,Changed_By,Last_Change_Identity_UUID,Company_Abbreviation,Company_Size,Company_Size_Text,General_Line_No,Industry_KUT,Industry_KUTText,MKTAccountUUID,Marketable,Marketable_Text,Name_Chinese,Name_Full_Name,Nature,Nature_Text,Organisation_Segment,Organisation_Segment_Text,Previous_supporting_organization,Relationship_With_FSDC,Revenue_Size,Revenue_Size_Text,Zoom_ID,ZOOM_JSON
00163EB12DA11EDB9C99FE47433B5341,,1000040,00163EB1-2DA1-1EDB-9C99-FE47433B5341,,,BUP002,Prospect,2,Active,,,,,,,,,,,,FSTB,,,,00163EB1-2DA1-1EDB-9C99-FE47433BD341,HK,Hong Kong,HK,Hong Kong Island,,"Room 2401, 24/F, West Wing",Central Government Offices,,,,"Tamar, Hong Kong",,,,,,,,FALSE,,,,,,,,UTC+8,"(UTC+08:00) Brunei Daruss., China, Hong Kong, Singapore, Indonesia, Malaysia, Philippines, Taiwan, Mongolia, Macao",,,,,,,,,EN,English,,,,,,,,,FALSE,TRUE,,,,,,7000000,00163EB1-2DB3-1EDB-9987-13AA025BF1CA,,,2021-02-17T03:30:19.299Z,System Administrator,00163EB1-2DB3-1EDB-9987-5EFE16BCD36C,2021-09-10T07:35:04.069Z,System Administrator,00163EB1-2DB3-1EDB-9987-5EFE16BCD36C,FSTB,,,,900,Other,,101,TRUE,財經事務及庫務局,Financial Services and the Treasury Bureau,141,Public Body - Government,121,HK Government Bodies,,,,,,
00163EB12DA11EDB9C9A0FDDFB00D3B1,,1000041,00163EB1-2DA1-1EDB-9C9A-0FDDFB00D3B1,,,BUP002,Prospect,2,Active,,,,,,,,,,,,HSBC,,,,00163EB1-2DA1-1EDB-9C9A-0FDDFB0153B1,HK,Hong Kong,HK,Hong Kong Island,,"Level 10, HSBC Main Building","1 Queen’s Road Central, Hong Kong",,,,,,,,,,,,FALSE,,,,,,,,UTC+8,"(UTC+08:00) Brunei Daruss., China, Hong Kong, Singapore, Indonesia, Malaysia, Philippines, Taiwan, Mongolia, Macao",,,,,,,,,EN,English,,,,,,,,,FALSE,TRUE,,,,,,13,00163EB1-2DB3-1EDB-AA85-7D7D65A9249A,,,2021-02-17T03:31:39.076Z,System Administrator,00163EB1-2DB3-1EDB-9987-5EFE16BCD36C,2021-05-17T15:24:40.136Z,System Administrator,00163EB1-2DB3-1EDB-9987-5EFE16BCD36C,HSBC,,,,321,Overseas Government bodies - Government Department,,101,TRUE,香港上海滙豐銀行有限公司,The Hongkong and Shanghai Banking Corporation Limited,181,Listed Company,141,Overseas Government Bodies,,,,,,
00163EB12DA81EDC8589121ED02F08BE,,1001818,00163EB1-2DA8-1EDC-8589-121ED02F08BE,,,BUP002,Prospect,2,Active,,,,,,,,52,Finance and insurance,,,Testing Ltds,,,,02C89F8B-B310-1EDD-80E9-E9835AF6CB49,HK,Hong Kong,,,,"Rm 301, 2/F, FF Bldg.,","1 Nathan Rd, MK",,,,,,,,,,,,FALSE,,,,,,,,UTC+8,"(UTC+08:00) Brunei Daruss., China, Hong Kong, Singapore, Indonesia, Malaysia, Philippines, Taiwan, Mongolia, Macao",,,,,,,,,,,,,,,,,,,FALSE,TRUE,,,,,,,,,,2021-09-13T04:10:45.870Z,Technical User _ZOOM_INT,00163EB1-2DA1-1EEB-BDEA-85F4EE996BA1,2022-07-14T08:51:01.426Z,Brenda Lee,0215C49B-452C-1EDC-B1DD-756042008BAB,,,,,111,Financial Services - Investment Banking,fa163ed4-c553-1eec-8197-6bfcd3a6e2f7,,,測試公司,Testing Ltds,,,101,Financial Services,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
